year,country_code,country_name,region,gdp_per_capita_growth,agriculture_share_gdp,gdp_growth,inflation_cpi,crop_production_index
1960,FRA,France,Western Europe,,10.1484983970751,,4.13993575518437,
1961,FRA,France,Western Europe,3.86638337263079,8.71811104626433,4.94642545980355,2.40046104546311,65.75
1962,FRA,France,Western Europe,5.78849953083436,9.42435111401664,6.85626464484753,5.33128007065639,83.29
1963,FRA,France,Western Europe,5.04387858193047,8.46106644330133,6.1033388581149,4.9991528979685,74.98
1964,FRA,France,Western Europe,5.4524483404827,7.65134955635797,6.58280685437494,3.21119170293105,75.69
1965,FRA,France,Western Europe,3.83774871392582,7.45518882827474,4.83875011249243,2.70310455873084,80.94
1966,FRA,France,Western Europe,4.25656125851283,7.2562559484233,5.16354274190655,2.60200076636451,73.65
1967,FRA,France,Western Europe,3.95225786940368,7.22912170874241,4.80177080876672,2.79177709435142,79.22
1968,FRA,France,Western Europe,3.74594449516368,6.99929805727027,4.54401821190027,4.54320486402014,82.27
1969,FRA,France,Western Europe,6.21456747145352,6.36707415175108,7.09364697994077,6.045962841739,74.9
1970,FRA,France,Western Europe,5.23806196732815,6.32350889683139,6.20017438615466,5.29964124562667,83.98
1971,FRA,France,Western Europe,4.30591766355121,5.79288542322588,5.29344622836985,5.39751865595111,81.67
1972,FRA,France,Western Europe,3.60082793884236,6.4680166974781,4.51410759995832,6.06300309718186,79.52
1973,FRA,France,Western Europe,5.33972143582457,6.45671939248342,6.19458406640176,7.38060106398917,93.17
1974,FRA,France,Western Europe,3.72619321259258,5.13052303762004,4.41471376407343,13.6493174728138,87.97
1975,FRA,France,Western Europe,-1.41569324890409,4.55482828580346,-0.945609616912307,11.6859272493228,78.64
1976,FRA,France,Western Europe,3.89596423761951,4.30557383613474,4.33755647481964,9.62549578155533,77.77
1977,FRA,France,Western Europe,3.07125680600552,4.08042323446105,3.55415568976466,9.49455467190426,74.38
1978,FRA,France,Western Europe,3.47919733278744,3.9496921083797,3.94936216342872,9.25055846724441,84.58
1979,FRA,France,Western Europe,3.2316775733437,3.91512497382701,3.69531078677157,10.6467341716662,93.22
1980,FRA,France,Western Europe,1.13499020458092,3.41563785088454,1.67641337198611,13.5625788483016,91.14
1981,FRA,France,Western Europe,0.589285105722027,3.33926677836126,1.18831474293866,13.3144055680073,84.22
1982,FRA,France,Western Europe,2.06907254844478,3.84065071640816,2.44251268690125,11.9784719523805,96.51
1983,FRA,France,Western Europe,0.717848547478113,3.3955486373867,1.26205761797051,9.45954847235315,87.88
1984,FRA,France,Western Europe,1.11432810235115,3.16593850567096,1.60947146551595,7.67380262247318,98.32
1985,FRA,France,Western Europe,1.06265235277525,3.15221803900914,1.56907436604108,5.83109973854514,97.44
1986,FRA,France,Western Europe,1.86751539834408,3.05818780099865,2.38953554470334,2.53852591781413,94.26
1987,FRA,France,Western Europe,1.99730005194385,2.92256792569356,2.55274621143047,3.28889821400136,99.69
1988,FRA,France,Western Europe,4.21003285861991,2.69305175565178,4.81422400170246,2.70081527508114,96.74
1989,FRA,France,Western Europe,3.78375169549521,2.95985320818883,4.40516927190527,3.49830220700752,97.37
1990,FRA,France,Western Europe,2.268451182731,2.97794544466016,2.82962715326478,3.19428338029482,98.6
1991,FRA,France,Western Europe,0.729685951027619,2.47177542612757,1.23666248297356,3.21340732409677,91.09
1992,FRA,France,Western Europe,1.01174283165568,2.45934288583764,1.5160611169627,2.36376046269356,100.14
1993,FRA,France,Western Europe,-0.791444096179944,2.17161277383409,-0.35899781051468,2.10446277124642,90.41
1994,FRA,France,Western Europe,2.00092888436674,2.27070751919673,2.38366086110145,1.65551532926999,91.26
1995,FRA,France,Western Europe,1.93291761763854,2.313383133861,2.30479278392259,1.79648142095589,93.05
1996,FRA,France,Western Europe,1.03528502888366,2.27526049667286,1.39707987198881,1.98288365089739,101.55
1997,FRA,France,Western Europe,2.16193589623612,2.21545959227374,2.5270616339357,1.20394294026964,101.95
1998,FRA,France,Western Europe,3.06997018708124,2.2355571969051,3.45259434279616,0.651126867833073,103.3
1999,FRA,France,Western Europe,2.86728569454124,2.11672166680524,3.39930808809441,0.537141639134596,106.61
2000,FRA,France,Western Europe,3.42869029655284,1.98449655121117,4.14099996402915,1.67595988720928,103.98
2001,FRA,France,Western Europe,1.1593271284506,2.00226015670254,1.89946701186636,1.63478079549599,95.4
2002,FRA,France,Western Europe,0.335619014023663,1.90378389721189,1.06775027069419,1.92341228727064,103.96
2003,FRA,France,Western Europe,0.257866805308325,1.74560664256609,0.967827182558352,2.09847219146919,89.85
2004,FRA,France,Western Europe,2.11736543407739,1.72018557547967,2.86825052501032,2.14208964640239,106.67
2005,FRA,France,Western Europe,1.1253537135494,1.58270403235962,1.88856584109286,1.74586936380487,99.78
2006,FRA,France,Western Europe,2.00131130247657,1.42706409375236,2.71406448755236,1.67512449608726,96.17
2007,FRA,France,Western Europe,1.89856745333175,1.516727357675,2.53048188351066,1.4879980595386,93.28
2008,FRA,France,Western Europe,-0.178410661195599,1.42030674677991,0.380171435849121,2.81286194914785,100.16
2009,FRA,France,Western Europe,-3.32212444604225,1.23241577481447,-2.82455153714783,0.0876204781574653,103.75
2010,FRA,France,Western Europe,1.49872466177408,1.50088040274637,2.00032476039051,1.53112270420919,98.02
2011,FRA,France,Western Europe,1.94433505424516,1.55137276231397,2.43757653729007,2.11159795175,100.82
2012,FRA,France,Western Europe,-0.299598729272304,1.52594468949115,0.183835264973013,1.9541953161351,97.23
2013,FRA,France,Western Europe,0.26214454973659,1.36140137870511,0.781756446231,0.863715497861804,96.03
2014,FRA,France,Western Europe,0.519383764691739,1.46154600121993,0.997832947295251,0.50775882293799,105.3
2015,FRA,France,Western Europe,0.708030590350688,1.50360116027898,1.06675474783462,0.0375143805125182,103.95
2016,FRA,France,Western Europe,0.594243752389232,1.33798472564444,0.860031075424033,0.183334861123765,90.75
